logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
ARSG	3.05852409205968	2.66698930776371	3.45005887635566	3.8670891526663	15.4345066703339	7.87033230729093e-33	3.4863500981218e-30	64.0680426297595
RND1	3.53170971876224	3.07835033208906	3.98506910543542	3.37312763616302	15.3919479681114	1.0162326426687e-32	4.3862164292416e-30	63.8125190812011
RARA	1.98781554537709	1.73117367409928	2.2444574166549	6.62691400987643	15.3038171316326	1.72614571367921e-32	7.26405269959052e-30	63.1955547289634
VGLL1	-7.92729784300803	-8.95548002821597	-6.89911565780008	-1.38086286470315	-15.2337315846131	2.63186902664587e-32	1.08054271525683e-29	62.5652792427247
GREB1	4.74349482313192	4.12513214824324	5.3618574980206	5.95440017009063	15.1567595867245	4.18470973603263e-32	1.67717188063422e-29	62.3719858385383
TFF3	8.61564971973603	7.48515936757096	9.74614007190109	5.57767220501153	15.0581760986118	7.58467236893708e-32	2.9691346508446e-29	61.8167808858522
SFRS13B	-4.0109940961681	-4.53774870537081	-3.4842394869654	-0.779264677053103	-15.0450929946327	8.20803435955743e-32	3.14013278123705e-29	61.3350018044251
SLC22A5	2.05429459669365	1.78201053877174	2.32657865461556	4.73287806799241	14.907049983589	1.89037794207754e-31	7.07127375533138e-29	60.8759177835431
MYB	2.99114592427299	2.59366283021	3.38862901833598	6.13441258515015	14.8686020245999	2.38550632200294e-31	8.72939737353816e-29	60.6025461307058
TTLL4	-1.88604263429975	-2.13781355198125	-1.63427171661825	4.71334436715415	-14.8012072971837	3.58758581277595e-31	1.28489004226506e-28	60.2292979473206
CHODL	-4.51598314524964	-5.12084203973174	-3.91112425076753	-1.27710010956707	-14.7519502543729	4.83535312457175e-31	1.69569789887325e-28	59.5418206962156
INPP4B	3.20117130363812	2.76946560459193	3.63287700268431	4.54669506123125	14.6511708026288	8.91041225764063e-31	3.06099937822173e-28	59.3555785360522
