	TCGA-A7-A13F-01	TCGA-A2-A0YE-01	TCGA-BH-A0B0-01	TCGA-C8-A131-01	TCGA-A2-A0D3-01	TCGA-AN-A0XN-01	TCGA-E2-A573-01	TCGA-E2-A15P-01	TCGA-A2-A25F-01	TCGA-AO-A12F-01	TCGA-E2-A1IK-01	TCGA-E9-A1NC-01	TCGA-EW-A1P4-01	TCGA-AR-A24N-01	TCGA-BH-A18I-01	TCGA-AR-A24L-01	TCGA-BH-A18G-01	TCGA-AO-A0JG-01	TCGA-BH-A0BD-01	TCGA-E2-A15I-01	TCGA-BH-A5IZ-01	TCGA-D8-A1JS-01	TCGA-AO-A03P-01
LOC285045	0	6	0	0	3	3	3	0	0	0	0	3	0	6	0	0	0	0	0	1	0	0	0
LOC285074	302	511	289	1096	539	392	339	694	720	1216	161	429	614	292	762	522	295	583	480	492	288	477	682
LOC285194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC285205	0	0	0	0	0	0	5	1	0	1	0	2	3	0	0	0	0	1	0	0	1	0	0
LOC285359	124	162	119	231	199	63	275	326	125	210	130	151	155	327	177	420	87	168	145	223	53	212	308
LOC285370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC285375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC285401	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0
LOC285419	2	2	7	104	2	4	1	5	0	14	3	3	2	8	1	3	0	4	1	34	2	1	1
LOC285456	5	3	3	1	5	1	1	1	3	0	5	1	0	4	4	5	0	12	2	3	0	5	8
LOC285501	0	1	5	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC285548	0	6	8	9	1	32	6	9	5	371	0	56	40	20	9	36	65	2	7	1	9	1	9
LOC285593	10	6	13	0	8	6	3	19	16	9	13	21	16	12	45	142	1	28	6	42	3	17	483
LOC285627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC285629	4	10	0	15	8	8	12	2	6	8	3	8	9	19	0	0	0	1	5	2	16	0	2
LOC285692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
LOC285696	0	7	3	1	1	7	0	5	5	0	7	0	26	2	2	13	0	2	0	1	3	16	2
LOC285733	1	0	0	0	2	0	0	2	2	0	6	2	1	0	8	8	0	6	0	6	0	0	0
LOC285735	0	0	0	1	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0
LOC285740	0	0	0	1	0	0	0	3	17	1	0	0	0	1	1	3	0	0	1	3	0	0	1
LOC285768	1	0	0	0	0	5	4	2	0	0	0	1	6	1	0	0	0	0	0	2	1	0	0
LOC285780	0	0	0	0	3	2	2	1	0	0	0	1	1	3	1	2	1	1	0	0	0	1	2
LOC285796	1	19	0	4	0	1	3	0	6	0	0	1	2	0	1	0	0	3	1	0	17	0	0
LOC285830	61	29	57	12	36	43	106	92	94	20	34	73	98	118	95	49	6	62	86	103	37	95	58
LOC285847	0	0	0	0	2	1	0	1	0	2	0	0	0	5	0	3	0	1	1	0	0	3	1
LOC285954	5	5	2	6	3	29	17	2	9	3	6	19	1	10	6	16	4	3	8	1	3	0	5
LOC286002	6	70	4	205	1	4	17	2	5	411	5	50	17	2	5	10	29	11	3	8	4	3	1
LOC286094	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC286135	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC286238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC286359	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
LOC286367	12	108	107	63	42	55	62	132	92	163	20	43	58	62	71	48	37	91	50	143	90	57	38
LOC286467	6	173	70	103	3	21	2	23	8	19	18	6	234	39	15	93	4	19	23	25	8	0	21
LOC29034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC338588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC338651	139	406	23	420	430	10	285	126	18	50	46	99	52	168	51	91	148	89	215	269	857	38	88
LOC338758	39	96	49	182	15	56	49	83	93	155	22	31	65	27	138	75	27	73	26	101	28	28	71
LOC338799	171	144	435	220	726	136	440	1393	282	210	150	296	143	385	1268	539	225	1504	364	2454	213	737	346
LOC339047	507	1692	961	948	1857	687	1661	2222	992	3478	613	2591	854	2873	6048	1929	921	2395	1232	2662	775	1287	1323
LOC339240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
LOC339290	1283	1164	1348	296	237	1091	1109	2701	2554	954	921	1604	1192	807	1534	1961	279	966	501	1765	741	593	1560
LOC339524	81	80	805	44	78	68	147	238	1897	572	130	335	49	105	244	210	26	214	422	150	182	11	26
LOC339535	1	1063	47	207	0	36	312	114	97	9	4	12	6	39	76	31	423	7	745	69	38	3	171
LOC339568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC339674	7	9	0	57	2	3	25	2	5	31	2	57	2	5	4	5	15	0	12	1	32	2	8
LOC339788	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC340017	0	0	0	2	0	0	0	8	0	3	1	0	0	0	0	2	1	3	0	10	0	34	0
LOC340074	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	3	0	0	0	0	5
LOC340094	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC340357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC340508	0	0	0	0	3	0	0	0	0	1	1	0	1	2	0	0	0	1	1	1	1	0	0
LOC341056	48	53	16	29	24	17	86	52	71	29	21	54	38	50	31	33	15	40	46	29	82	44	35
LOC342346	3	1	3	1	0	4	3	3	10	0	5	5	4	3	5	0	3	8	5	10	0	1	6
LOC344595	538	35	473	144	306	314	158	2294	255	542	1468	205	196	276	894	1984	140	290	256	1345	109	204	425
LOC344967	11	6	3	4	10	4	21	45	20	8	15	5	13	24	17	22	3	9	18	10	8	15	43
LOC347376	1	0	0	0	2	1	16	1	2	1	1	0	0	2	0	1	5	0	3	0	1	1	1
LOC348021	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC348840	0	0	0	0	2	0	5	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	2
LOC348926	259	246	83	130	500	140	63	489	123	193	160	59	95	572	343	382	99	300	303	264	96	459	503
LOC349114	192	150	310	417	676	154	229	891	238	254	136	125	192	306	590	403	38	600	225	647	189	301	536
LOC349196	12	12	3	6	4	11	4	38	7	13	12	12	4	56	10	30	3	18	46	19	13	8	4
LOC360030	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC374443	548	367	230	505	561	214	346	328	578	816	101	490	379	501	1193	534	113	862	456	655	332	308	575
LOC374491	2	2	8	2	5	6	2	3	6	4	0	9	5	2	2	10	0	4	3	4	2	0	4
LOC375190	202	263	161	123	161	118	330	231	173	357	109	107	48	477	81	416	106	119	177	313	92	142	216
LOC387646	27	262	43	29	97	60	100	471	154	265	48	90	110	153	72	174	67	37	56	158	633	325	14
LOC387647	793	922	1173	1043	756	913	1536	1739	1608	1504	549	1329	1268	1284	1437	1111	664	1091	1372	1152	1162	839	729
LOC388152	107	3440	669	725	817	459	467	498	304	2006	283	837	922	133	963	411	281	1027	576	912	2079	242	3061
LOC388242	55	65	79	100	40	35	38	15	40	16	126	159	55	45	50	33	19	73	16	37	420	30	16
LOC388387	0	0	3	1	1	0	1	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0
LOC388428	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
LOC388588	25	115	64	101	96	46	27	183	9	9	40	117	26	268	118	77	71	71	178	79	22	425	24
LOC388692	85	116	522	209	233	1188	620	916	1576	182	722	267	516	257	1103	2265	58	3099	286	440	103	513	1339
LOC388789	1048	1012	1218	1406	1433	992	1151	1557	1284	1272	1377	1200	743	1913	1504	1029	1995	1957	1379	1193	1155	2904	3858
LOC388796	1200	1551	454	1638	1345	640	1648	957	1267	3126	353	1687	2016	376	739	788	580	817	489	670	1504	699	627
LOC388946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC388955	1379	1038	1243	626	959	953	1470	572	1246	2026	871	1393	3808	841	1039	1224	1355	823	989	447	1227	1112	1432
LOC389033	184	1	152	0	726	51	0	110	2	0	7	1	0	0	6	116	0	17	90	12	0	32	4
LOC389332	0	1	0	0	0	0	0	0	1	2	30	0	4	0	0	5	0	0	2	1	0	1	46
LOC389333	39	128	174	26	85	62	71	375	123	37	107	64	67	76	414	67	6	395	80	378	182	65	138
LOC389458	27	3	4	18	48	5	21	3	13	7	3	10	2	2	6	4	15	15	2	1	20	3	5
LOC389493	742	781	172	208	50	745	59	50	0	82	46	175	87	10	3	34	60	10	39	6	16	1	13
LOC389634	0	16	3	5	6	0	19	3	29	6	0	16	7	0	25	2	9	7	4	5	3	3	40
LOC389705	4	20	11	9	4	22	13	8	21	15	4	15	5	6	19	21	4	22	15	13	11	3	9
LOC389791	1	3	14	4	3	0	11	17	5	9	2	5	3	2	12	1	0	10	5	8	11	9	12
LOC390595	1	2	20	10	9	3	15	43	5	8	5	22	2	9	17	10	2	22	2	29	15	18	22
LOC390858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC391322	5	8	0	2	0	7	25	18	3	47	5	12	6	0	4	14	2	10	1	30	2	29	0
LOC392196	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	2	2	0	0	0	0
LOC399744	140	972	107	534	452	195	609	642	185	381	159	206	309	346	506	178	83	579	245	541	847	341	167
LOC399815	62	43	28	29	2	28	72	20	44	4	13	15	36	55	19	208	1	17	37	15	67	14	21
LOC399959	186	557	512	207	260	1447	130	887	1079	539	116	472	291	570	1471	1063	151	559	397	669	264	41	259
LOC400027	510	295	634	368	538	338	250	1147	546	463	619	254	219	449	1533	956	349	1313	350	734	162	817	695
LOC400043	566	386	1208	191	539	297	245	3056	461	221	126	439	117	940	1026	423	203	658	283	324	432	723	1012
LOC400657	274	238	315	359	639	226	598	939	389	215	283	385	912	803	945	1047	220	713	268	602	847	486	2176
LOC400696	0	4	124	9	14	0	105	38	24	0	76	28	13	39	18	6	0	32	32	16	0	3	77
LOC400752	68	179	69	108	36	20	46	79	29	257	46	77	40	127	117	124	62	57	65	56	54	82	65
LOC400759	3	38	200	7	33	19	335	26	236	2	34	176	399	114	88	25	10	86	134	43	4	3	41
LOC400794	0	0	0	0	0	1	0	0	1	0	0	0	0	1	2	9	0	2	0	0	0	0	0
LOC400804	1	13	0	1	0	4	0	5	2	14	0	0	0	3	6	3	0	2	4	0	0	1	1
LOC400891	0	0	6	0	1	0	0	2	1	2	0	0	0	35	0	6	0	0	0	18	0	0	1
LOC400927	2	83	46	44	22	20	59	134	78	83	3	77	57	68	42	16	14	48	18	91	47	8	16
LOC400931	35	98	108	68	77	25	34	239	49	99	26	161	44	35	333	38	31	82	77	289	45	339	69
LOC400940	0	14	36	89	9	5	0	1	1	2	0	0	2	2	4	4	0	0	1	2	1	0	0
LOC401010	43	75	50	73	120	30	138	103	103	47	60	68	175	78	134	51	51	43	87	71	200	131	110
LOC401052	290	127	167	340	159	323	223	300	114	1155	150	91	89	596	171	263	100	75	247	146	44	256	201
LOC401093	164	161	162	146	163	141	195	313	599	267	59	369	124	569	309	202	69	107	194	234	172	85	67
LOC401127	8	9	17	8	17	14	24	44	22	6	14	9	12	15	32	13	2	12	14	20	8	22	16
LOC401387	1	3	1	5	3	0	3	4	0	2	1	2	1	0	3	4	0	6	2	15	4	1	9
LOC401397	1237	3053	1606	2301	2098	1848	2751	2965	2885	4415	814	2521	2173	1946	1647	2416	2384	1792	1571	1910	1848	1408	2109
LOC401431	46	345	165	43	114	37	87	317	179	172	71	91	49	70	285	70	30	102	71	395	200	83	45
LOC401463	0	0	9	14	6	1	5	18	24	5	0	4	1	9	21	15	2	21	8	19	1	0	4
LOC401588	95	282	125	62	94	113	190	203	140	384	107	116	75	179	254	280	69	171	97	176	62	197	146
LOC402377	15	15	24	5	47	18	9	73	35	17	31	3	15	79	40	92	2	33	51	64	18	17	88
LOC402644	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
LOC407835	106	69	97	110	123	101	276	185	170	155	82	169	143	108	139	105	84	102	174	80	142	190	174
LOC415056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LOC440040	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
LOC440173	0	0	0	0	2	0	0	40	7	3	1	1	1	2	0	8	7	7	2	11	3	0	0
LOC440354	207	213	102	129	357	188	145	406	415	445	171	510	554	513	816	832	114	571	160	508	387	528	272
LOC440356	24	0	1	71	6	5	0	29	0	31	1	86	5	4	1	13	0	0	1	2	3	14	10
LOC440461	5	5	15	6	9	2	15	3	49	2	12	3	3	2	13	11	1	12	2	14	16	5	4
LOC440563	2	1	0	0	1	0	12	3	4	1	0	3	1	1	0	3	0	1	1	1	3	2	1
LOC440896	1	0	1	2	6	0	3	0	9	1	0	2	0	0	1	2	0	2	2	7	0	0	2
LOC440905	10	1735	67	120	1340	35	23	845	2	85	46	31	9	23	6	263	37	33	55	12157	0	196	398
LOC440925	8	22	101	5	4	112	4	835	4	1	1	1	80	1618	492	23	0	5	1	19	1	371	111
LOC440944	314	565	468	327	547	316	1453	1630	658	1208	116	415	365	471	936	455	252	661	468	1024	256	363	465
LOC440957	479	221	351	292	278	148	271	390	379	323	346	349	483	296	383	154	399	208	406	271	225	1335	529
LOC441046	101	40	19	27	13	47	6	84	31	9	26	15	37	13	38	82	13	10	32	18	10	34	19
LOC441089	213	331	361	235	305	220	404	381	466	283	255	208	281	362	376	430	147	370	404	234	258	345	311
LOC441177	9	5	3	9	4	0	5	2	0	24	0	0	122	1	5	2	0	0	30	1	96	0	0
LOC441204	87	241	76	23	165	98	63	76	97	42	11	56	136	260	214	146	16	238	245	91	33	120	56
LOC441208	118	323	27	47	66	106	18	190	74	41	69	56	122	97	174	138	37	143	103	78	80	53	115
LOC441294	211	95	152	248	138	37	108	444	47	223	92	58	191	239	454	210	181	411	268	558	178	160	361
LOC441454	3	8	18	3	16	5	1	45	18	17	2	2	0	17	33	11	3	7	13	25	3	2	11
LOC441455	8	14	92	53	48	19	21	22	18	2	2	19	21	18	28	5	37	41	17	31	20	19	82
LOC441601	0	0	0	0	0	0	2	0	0	0	0	0	2	0	3	4	0	0	1	0	0	0	0
LOC441666	258	161	136	311	328	139	281	298	25	869	6	271	319	160	29	100	52	25	35	105	84	51	1107
LOC441869	161	98	701	499	60	128	184	504	268	147	175	1018	118	155	384	249	132	275	318	243	121	42	46
LOC442308	2	14	1	2	2	2	10	3	1	2	0	3	4	4	0	2	0	1	3	0	2	1	1
LOC442421	54	21	26	25	104	23	44	127	18	26	5	19	23	132	64	77	11	94	29	50	35	7	54
LOC442454	345	275	350	592	408	250	323	353	714	715	257	660	632	1110	477	437	355	355	533	302	181	424	448
LOC442459	4	1	0	1	0	1	17	1	1	1	0	4	3	3	2	2	0	1	1	0	9	1	1
LOC493754	956	1230	961	986	1196	997	989	1370	1890	1947	604	1045	866	1202	1565	1126	657	1517	1172	1296	818	1197	1667
LOC494141	0	3	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	2	0	0	1	0	0
LOC541471	711	507	540	1101	373	1263	453	343	997	794	183	1229	2025	677	981	1264	1360	735	1032	244	466	342	883
LOC541473	6	7	14	7	14	6	5	11	10	4	5	4	1	6	16	4	0	10	8	45	4	8	11
LOC550112	702	500	433	644	861	473	216	2165	765	709	884	368	772	515	842	1035	363	806	424	762	288	1988	785
LOC550643	1052	2765	1473	1085	1136	803	721	1757	1044	617	806	567	277	1109	1337	2190	1052	1450	1012	1157	731	1529	1784
LOC554202	2	33	186	7	12	86	83	42	4	8	8	34	267	22	99	44	0	18	8	20	155	0	6
LOC55908	4	1	17	0	0	3	2	4	2	0	1	2	0	0	2	26	0	1	2	0	0	6	0
LOC572558	2	0	5	0	0	3	0	1	4	0	1	0	0	0	0	2	0	6	2	0	0	0	1
LOC595101	121	387	124	253	675	91	199	201	254	107	84	250	152	860	1056	564	47	205	337	541	469	310	618
LOC606724	8	49	56	63	62	33	130	15	407	66	32	208	107	44	119	37	47	114	67	73	105	43	33
LOC613037	39	5	12	15	50	97	35	21	3	207	0	1	1	93	86	33	0	27	38	108	11	1	45
LOC619207	5	18	20	30	65	7	22	83	8	13	5	15	4	74	109	33	11	39	23	103	3	45	36
LOC641298	85	152	91	31	555	137	36	621	420	233	31	71	167	368	854	613	7	438	165	712	49	17	100
LOC641367	8	16	17	11	13	10	18	27	68	10	2	8	5	17	33	14	0	16	14	24	3	17	8
LOC642587	607	20	179	1394	2235	721	46	745	19	176	173	340	58	1653	409	199	5	180	2661	367	4	2448	58
LOC642597	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0
LOC642826	119	55	184	22	287	69	145	305	115	476	51	132	98	276	396	263	17	263	86	388	152	127	299
LOC642846	342	511	133	125	102	83	670	338	274	1784	51	499	407	299	503	172	115	338	364	167	754	238	390
LOC642852	327	3888	791	574	1034	635	1039	1459	748	881	235	409	1559	885	1209	931	286	616	752	1168	3398	206	908
LOC642929	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC643008	5	186	47	78	12	4	95	29	59	10	9	144	15	38	29	7	38	35	18	45	39	14	12
LOC643387	76	126	102	115	126	61	148	159	132	174	83	108	95	139	140	138	82	131	181	116	150	100	119
LOC643486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC643677	15	5	4	4	1	11	0	10	21	8	1	7	12	7	6	8	5	1	10	9	9	1	7
LOC643719	7	11	13	17	10	7	9	20	53	6	19	6	10	38	13	32	3	16	0	36	23	19	258
LOC643763	3	1	35	5	43	152	0	10	6	1	4	3	5	8	20	28	0	0	5	44	13	6	2
LOC643837	139	236	429	222	378	302	143	459	434	260	187	230	370	391	690	469	202	429	484	408	362	287	286
LOC643923	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
LOC643955	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC644145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC644165	6	22	20	54	20	16	16	13	2	9	15	48	27	33	15	12	2	13	38	14	30	10	7
LOC644172	71	5	18	6	25	14	7	121	11	19	81	8	25	19	96	49	10	54	73	18	73	28	9
LOC644538	66	149	202	72	88	264	84	275	317	127	55	434	549	146	227	333	40	187	392	102	107	41	143
LOC644669	0	5	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0
LOC644936	85	131	72	132	63	99	337	74	92	109	40	128	57	87	64	62	78	84	101	48	122	35	46
LOC645166	87	253	169	231	206	151	174	249	214	219	70	245	109	139	362	304	83	251	142	212	119	137	243
LOC645323	0	68	0	4	25	0	36	0	47	47	0	61	5	2	0	0	3	1	0	1	61	0	3
LOC645332	165	442	297	101	477	430	95	525	176	1402	205	173	72	333	418	414	153	117	119	581	117	708	432
LOC645431	116	49	122	24	163	31	49	151	53	49	74	42	6	43	47	184	32	130	26	54	10	109	138
LOC645676	72	159	88	63	115	32	112	90	85	194	50	63	72	149	151	93	74	186	133	92	81	93	93
LOC645752	0	0	0	0	2	0	1	0	3	1	0	5	0	13	2	1	0	3	9	1	0	0	0
LOC646214	264	384	294	144	357	300	352	530	382	211	72	117	363	466	479	439	116	394	451	465	253	242	197
LOC646471	51	123	100	101	165	56	126	556	75	57	33	47	221	153	214	51	37	331	162	499	60	68	105
LOC646498	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC646627	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC646762	568	655	572	102	1491	845	351	1874	1731	389	1271	383	603	680	1920	1510	315	3100	680	1553	736	461	1554
LOC646813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC646851	119	206	154	242	848	170	168	461	164	468	61	82	36	525	336	248	47	129	284	409	51	254	205
LOC646982	1	7	0	4	1	6	1	4	10	4	0	0	3	4	7	1	0	1	2	3	0	2	1
LOC646999	11	212	61	19	29	47	33	22	41	45	31	24	67	73	79	167	16	165	57	60	85	9	14
LOC647121	25	139	178	24	273	56	143	154	489	78	335	35	104	194	100	372	116	167	273	118	25	7	111
LOC647288	23	8	20	21	9	6	28	25	36	16	10	10	29	21	34	34	6	32	18	58	32	32	32
LOC647309	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	1	1	0	0	0	0	0
LOC647859	0	0	2	4	156	3	0	19	19	0	0	29	0	13	1	46	0	29	20	48	0	33	35
LOC647946	120	82	75	3	10	40	74	7	41	72	14	16	259	63	3	17	0	35	10	9	170	7	63
LOC647979	27065	51235	23708	15427	27569	22831	15427	53499	37980	29133	15215	7667	21123	36587	42293	94975	8837	47193	25169	36186	8337	18651	29704
LOC648691	0	38	0	0	0	0	7	0	0	0	0	19	0	0	0	0	0	10	0	0	0	0	0
LOC648740	13	9	29	12	51	11	8	34	23	7	4	4	6	20	16	19	5	53	13	21	2	3	17
LOC649330	29	24	26	40	43	6	104	39	44	53	28	39	38	47	34	47	15	41	39	56	35	64	60
LOC650293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC650368	43	48	40	56	130	51	31	73	104	59	41	88	25	81	159	114	24	54	55	65	24	69	92
LOC650623	39	247	139	56	199	133	48	233	180	124	26	23	282	166	115	163	50	237	267	194	42	12	221
LOC651250	2745	4805	2590	1518	3352	3154	1601	8706	5399	4051	2358	2115	3350	5051	5162	9480	4604	9695	5054	4257	5067	3132	5492
LOC652276	69	232	65	69	286	59	61	314	124	125	71	32	77	185	404	186	48	144	95	202	60	121	87
LOC653113	135	61	177	40	224	89	161	89	146	145	58	38	39	108	165	189	121	215	149	133	81	133	315
LOC653501	572	214	359	50	889	321	278	913	591	373	351	317	233	1165	584	1466	224	797	697	785	326	555	830
LOC653544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC653545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC653566	4362	9676	3964	4959	6404	4647	3905	6703	6089	3042	5096	5190	3624	7082	7970	11860	3226	3008	24069	4070	2893	11100	4158
LOC653653	106	252	167	75	216	355	131	291	924	128	86	147	125	357	489	433	42	182	256	163	344	66	330
LOC653786	7	3	20	3	2	23	6	17	30	4	4	5	5	5	25	22	0	11	5	14	24	4	8
LOC654342	200	787	652	1434	875	601	1051	515	430	647	142	913	253	412	958	1076	180	458	416	721	479	623	496
LOC654433	8	3392	115	1348	96	274	16	185	508	111	45	1251	65	355	75	667	50	624	569	888	37	453	142
LOC678655	500	2246	599	542	936	230	742	746	492	1875	521	2086	673	982	840	908	300	1015	678	1239	1257	890	1226
LOC723809	0	0	3	1	1	0	1	2	0	0	1	0	1	2	1	0	0	2	0	1	6	1	1
LOC723972	38	36	33	24	39	9	82	49	33	34	19	26	26	24	32	32	7	55	36	19	26	37	46
LOC727677	0	0	0	0	0	0	0	0	2	2	0	2	2	0	0	0	0	0	0	0	0	0	0
LOC727896	44	80	44	47	73	39	86	101	164	97	57	43	50	72	112	128	62	59	138	67	47	36	89
LOC727924	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0
LOC728024	56	78	55	11	76	37	36	133	56	65	37	37	27	62	96	102	36	49	68	82	48	30	40
LOC728190	344	276	258	635	650	568	213	389	291	330	189	456	362	441	568	541	322	530	468	602	740	357	283
LOC728264	97	123	511	104	110	259	120	665	335	344	44	320	63	173	568	454	34	817	308	1257	76	104	99
LOC728276	0	0	0	0	0	0	0	1	3	0	0	0	0	4	0	0	0	0	0	3	0	0	0
LOC728323	95	64	88	22	103	38	19	174	86	53	24	33	48	154	143	148	14	155	87	296	23	79	46
LOC728392	48	151	228	107	92	127	139	205	192	241	245	174	37	100	316	181	55	175	70	146	49	33	56
LOC728410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC728554	1168	439	595	942	755	717	465	1113	300	1015	420	350	459	911	1093	1191	1191	695	444	145	551	828	607
LOC728606	4	0	480	35	94	5	0	1643	0	5	990	0	15	2041	387	7	2	615	469	1184	0	2197	230
LOC728613	745	607	304	135	512	350	108	1172	327	489	227	273	614	1003	486	439	368	717	344	844	559	169	271
LOC728640	73	112	66	78	116	58	93	130	157	215	48	74	73	147	176	143	45	158	105	158	77	93	126
LOC728643	75	261	190	101	197	57	202	177	292	291	75	373	602	122	159	143	147	228	291	141	273	105	349
LOC728723	29	23	5	8	17	18	28	20	24	24	5	7	38	28	32	45	3	31	29	29	47	13	30
LOC728743	228	208	486	354	376	143	402	557	643	740	419	288	313	326	455	500	279	610	350	593	288	405	444
LOC728758	88	214	97	102	110	46	147	103	167	206	114	71	65	121	151	107	71	107	108	70	52	154	282
LOC728819	4	243	21	8	5	63	34	24	55	45	16	113	101	6	67	71	33	117	13	41	39	21	30
LOC728855	56	275	205	1807	62	652	495	162	739	396	589	693	1003	84	266	907	320	675	235	153	1746	1181	259
LOC728875	2	111	31	467	68	85	92	13	192	276	130	309	519	24	71	115	50	141	21	42	1386	549	100
LOC728989	1	0	4	11	7	1	6	4	20	4	0	4	7	10	21	11	0	24	15	14	1	19	1
LOC729020	52	248	66	42	76	82	77	159	136	87	67	33	131	120	83	160	28	79	107	62	51	53	93
LOC729082	1284	1606	1019	1355	1204	994	787	2029	2919	1809	681	308	2636	2216	1733	2886	1118	2136	1561	1699	990	1060	1430
LOC729121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC729156	14	3	0	0	9	0	21	11	2	7	29	16	0	2	7	0	0	3	12	3	0	91	65
LOC729176	91	112	89	47	140	61	117	131	165	81	64	66	92	197	95	213	64	100	143	117	117	72	77
LOC729234	102	441	202	163	219	141	106	238	80	625	103	275	116	168	109	166	213	223	141	299	81	389	214
LOC729375	338	63	82	86	211	128	114	259	39	335	35	61	53	173	73	224	46	93	97	139	29	110	177
LOC729467	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	1	0	1
LOC729603	15	135	39	53	72	30	63	76	108	101	12	40	50	36	72	47	33	43	35	92	64	10	73
LOC729609	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0
LOC729668	4	1	1	1	4	0	0	6	0	0	2	0	0	0	0	1	0	0	1	1	0	0	1
LOC729678	725	1008	1319	322	1495	939	1035	2345	1957	635	1356	774	1345	1070	1803	1876	695	1707	1032	1752	782	1991	2423
LOC729799	16	26	74	10	63	19	20	85	40	31	10	27	11	8	78	43	11	40	28	91	14	13	116
