	TCGA-A7-A13F-01	TCGA-A2-A0YE-01	TCGA-BH-A0B0-01	TCGA-C8-A131-01	TCGA-A2-A0D3-01	TCGA-AN-A0XN-01	TCGA-E2-A573-01	TCGA-E2-A15P-01	TCGA-A2-A25F-01	TCGA-AO-A12F-01	TCGA-E2-A1IK-01	TCGA-E9-A1NC-01	TCGA-EW-A1P4-01	TCGA-AR-A24N-01	TCGA-BH-A18I-01	TCGA-AR-A24L-01	TCGA-BH-A18G-01	TCGA-AO-A0JG-01	TCGA-BH-A0BD-01	TCGA-E2-A15I-01	TCGA-BH-A5IZ-01	TCGA-D8-A1JS-01	TCGA-AO-A03P-01
FOXI1	2032	619	123	1367	250	56	3168	71	5	2031	96	1739	18	10	1177	174	1	300	25	318	481	1331	286
FOXI2	13	0	74	1	3	1	4	7	9	3	6	1	9	4	6	66	3	33	12	5	0	3	27
FOXI3	1	1	0	0	1	0	9	3	31	25	0	26	0	3	0	29	19	0	67	1	98	0	0
FOXJ1	7	2	528	2	321	16	82	1035	4	6	9	153	11	3259	3281	20	0	18	296	2496	72	94	18
FOXJ2	2539	4458	2439	1237	2459	1660	1688	2365	5097	3320	968	1981	2816	3256	3291	3935	875	3990	3464	3047	3277	1708	2430
FOXJ3	2936	3088	4174	2744	4603	3223	2607	7902	7340	5350	2214	1879	3422	4902	7179	8829	1468	6627	4315	7120	2834	4647	5126
FOXK1	731	3992	3363	2023	2770	2839	2976	3332	4352	3046	864	1930	7680	2173	3204	3196	453	1572	2345	4289	9514	1452	2500
FOXK2	4265	15797	2003	3206	4987	2936	3248	5707	4153	6037	2596	4257	8978	4511	5075	9564	6915	3671	4327	3338	9830	3290	10650
FOXL1	52	77	84	81	41	246	193	131	98	85	36	440	431	72	141	121	140	68	63	52	65	8	51
FOXL2	1	13	3	0	0	4	7	1	15	0	5	0	1	3	3	4	6	0	1	1	2	2	7
FOXM1	7283	14421	870	2682	321	1068	5677	659	6808	9390	1073	3812	11589	3222	2610	3438	1004	705	5415	310	16873	756	5097
FOXN1	23	0	37	5	44	12	2	47	0	1	0	9	0	5	27	16	0	68	7	1	15	17	23
FOXN2	368	1320	519	645	590	987	1002	631	4746	2143	392	707	1915	740	1425	1378	430	1194	980	919	655	70	541
FOXN3	2228	7056	3631	1663	1443	4629	1595	3347	13696	3034	931	1470	2922	3007	6666	5911	1258	8157	3992	3327	1382	328	2807
FOXN4	0	1	20	0	16	0	4	68	9	0	0	2	0	261	145	3	0	0	6	211	4	0	0
FOXO1	696	1654	2634	1322	1508	2242	618	1839	7035	2058	455	1675	1327	1820	3635	2583	408	1954	1455	1465	377	308	1156
FOXO3B	1249	5403	1359	1298	2688	1695	1584	2712	3617	2444	762	1175	1369	2015	2850	2812	916	2224	2238	4849	1733	1088	3812
FOXO3	2442	13679	2941	3195	5984	4006	3897	4823	7831	4958	1646	2310	3046	4339	5846	6291	2263	4803	4559	12878	4043	2901	8232
FOXO4	948	1751	1505	955	2718	612	373	1958	1002	1094	306	946	1029	779	1385	1057	667	2291	1163	1297	1029	616	1711
FOXP1	4026	3585	9894	2460	4007	3904	1240	5542	6850	1814	2869	1113	2208	4657	8490	5280	1196	6517	4364	14048	1047	8712	4364
FOXP2	11	384	46	36	10	133	7	48	333	187	5	14	135	71	133	63	5	42	34	50	6	0	6
FOXP3	43	144	562	109	178	151	281	206	1668	44	139	495	210	176	670	40	82	319	310	177	56	139	144
FOXP4	5086	30018	5257	12114	4954	2078	13087	6986	3517	20720	1687	11805	5866	4198	5121	6705	2876	6643	4731	4067	9491	4274	5870
FOXQ1	50	147	13	26	13	131	709	91	48	15	4	585	1277	40	168	104	25	44	79	28	313	0	11
