	TCGA-E2-A15F-01	TCGA-AO-A1KR-01	TCGA-D8-A1JM-01	TCGA-A7-A4SE-01	TCGA-E2-A15S-01	TCGA-A2-A0ER-01	TCGA-E2-A105-01	TCGA-A7-A5ZW-01	TCGA-BH-A0EA-01	TCGA-AN-A0AS-01	TCGA-E2-A14O-01	TCGA-E2-A574-01	TCGA-C8-A274-01	TCGA-AN-A0AJ-01	TCGA-E2-A1AZ-01
SEMA4A	1619	1757	1473	1167	945	2302	1945	2327	2376	1441	2461	988	2980	3204	761
SEMA4B	5555	2319	13944	3588	6320	3359	10634	8060	6191	2777	4540	611	10184	4720	380
SEMA4C	3495	1992	2847	2555	13356	3262	8102	2321	2356	1592	1629	1184	3977	2030	1056
SEMA4D	1445	834	2062	1106	2147	1687	2036	1153	1091	1218	1036	946	2220	2724	1381
SEMA4F	1207	263	434	713	1010	876	1230	429	769	297	545	1290	1745	667	281
SEMA4G	1040	933	1471	177	4046	1664	456	102	314	160	580	179	895	578	473
SEMA5A	2297	146	561	651	1441	2411	1322	2176	2934	2620	694	82	1764	1038	1055
SEMA5B	36	38	220	988	185	31	73	128	91	35	44	31	33	43	234
SEMA6A	272	381	5861	208	403	406	181	511	875	170	99	45	1253	1039	492
SEMA6B	1729	187	253	467	2494	1641	3972	1472	902	614	443	62	361	697	135
SEMA6C	327	215	149	989	529	106	1252	418	871	320	184	245	927	206	135
SEMA6D	145	27	1574	130	440	305	450	783	1663	310	61	21	127	23	148
SEMA7A	280	466	215	746	150	491	523	414	250	169	247	513	324	521	399
SEMG1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SEMG2	0	20	3	0	0	0	4	0	0	0	0	1	1	0	0
SENP1	1859	628	3161	1614	4196	2528	2252	1148	1195	755	1171	483	2312	2901	1066
SENP2	2149	1153	3125	1015	3371	3165	2289	1768	1267	1029	1464	664	2735	3637	1095
SENP3	2570	315	2813	3409	2887	3303	2361	2293	1948	1445	1508	3594	3153	2632	1395
SENP5	2997	1615	4044	2081	4267	2049	3120	1168	1259	1647	1585	672	2352	3730	805
SENP6	3282	1323	6968	3301	8103	7346	6053	5092	3081	3291	3016	2681	6755	7977	2631
SENP7	927	245	368	475	1695	1570	1563	948	648	426	665	187	1493	1043	856
SENP8	146	32	198	38	86	255	189	121	118	88	115	89	388	173	52
SEP15	7042	3258	11376	5740	4202	9823	7627	11005	4425	8253	6482	8367	5551	6941	4857
SEPHS1	2477	5875	4956	1949	3452	4155	2471	3250	2288	2483	1753	2884	6715	24612	3230
SEPHS2	6086	4416	15632	2274	8865	6952	6590	7281	5392	6413	30185	1812	11379	13683	2010
SEPN1	12809	2718	6421	5754	7987	17093	11262	6005	10467	7389	6271	4924	16566	5754	5883
SEPP1	10495	7044	32931	2563	8873	48807	2859	38275	12499	3422	12024	4592	2313	25320	9070
SEPSECS	1137	180	428	274	1517	1245	1969	893	725	655	721	180	1441	1343	309
SEPT10	3439	437	5217	2807	4349	7810	4304	3699	3540	2533	1794	1627	5924	2400	1220
SEPT11	9118	2411	3467	3936	4605	11851	3989	8695	5949	5364	3409	2453	12345	4067	7670
SEPT12	35	7	0	2	0	0	2	9	15	0	10	2	10	0	0
SEPT14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SEPT1	202	230	336	132	94	80	147	166	250	115	125	27	169	530	224
SEPT2	21709	8415	33863	12152	19420	33608	30345	26296	16925	17774	16110	13911	40002	21419	7882
SEPT3	140	6570	2314	1161	5406	510	3614	135	144	524	166	72	1159	1262	1177
SEPT4	453	176	274	542	756	761	519	942	1030	331	291	284	298	420	224
SEPT5	769	1447	1278	2158	4271	2044	3581	1668	1139	1725	1139	581	2403	1686	139
SEPT6	1841	3158	2901	2060	2191	4438	1479	1487	1602	948	2558	959	4051	3332	2583
SEPT7L	2	0	0	1	2	0	2	1	1	0	0	4	2	0	1
SEPT7P2	333	159	161	178	688	448	618	424	366	167	491	144	686	472	136
SEPT7	6989	2569	5357	3897	8082	10907	5305	10507	6739	7526	6134	3556	7913	15199	5693
SEPT8	3094	965	3632	3686	5405	4260	4697	4377	4747	3515	4337	1886	13934	9980	2006
SEPT9	18908	19032	18566	8640	30949	26076	41225	13748	9180	8822	18217	9276	17657	19319	6301
SEPW1	9071	9649	5427	4308	11353	12015	9823	6762	5835	7893	9199	10108	15986	3179	2191
SEPX1	1092	1787	871	655	1031	1117	1254	1459	1445	907	4577	475	1485	1318	326
SERAC1	499	156	539	895	403	1427	949	623	476	362	648	997	1358	923	343
SERBP1	11553	14220	41536	14277	17384	20659	21240	16281	9534	13349	9185	21934	15012	18905	15069
SERF1A	1289	1089	1006	636	2563	1770	3408	1535	1008	790	1888	1611	2531	2905	581
SERF2	14621	35337	25979	8094	24820	25536	17487	18318	11881	17634	40588	29611	19765	20399	3010
SERGEF	785	391	1322	370	1372	1267	1400	757	1285	678	1022	1191	1523	1223	133
SERHL2	391	78	129	72	2603	4213	474	94	591	63	110	50	563	447	21
SERHL	281	104	517	197	2131	1539	701	209	429	142	299	123	409	379	61
SERINC1	8980	1452	7713	7651	14160	38632	23745	16035	12233	14008	9416	4623	20681	15671	4217
SERINC2	15743	6203	5411	3437	8876	8239	5683	7315	8433	14206	12515	4806	9458	7134	1444
SERINC3	7322	926	6084	4080	11889	10846	7995	4570	4850	5991	6030	2387	9640	8699	2807
SERINC4	14	20	4	6	47	7	18	9	8	3	11	0	18	12	2
SERINC5	601	4	1001	194	266	733	353	156	384	675	156	22	1212	865	393
SERP1	17783	13180	17610	7879	9536	16505	10821	14403	5436	24244	15521	8970	14969	22265	6471
SERP2	155	10	15	66	385	232	9	145	222	108	52	252	189	13	9
SERPINA10	0	0	0	1	0	2	4	7	0	1	293	0	0	1	0
SERPINA11	33	3	0	14	414	199	123	1005	480	341	2796	3	221	583	1
SERPINA12	1	0	0	92	8	4	12	2	19	0	25	3	0	8	0
SERPINA13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINA1	3095	1631	578	925	243	7864	2995	4185	4308	2692	254744	306	2291	6675	2751
SERPINA3	100373	4341	86652	14198	10525	58984	30708	59711	27001	17550	191127	20413	283507	20659	2045
SERPINA4	0	0	0	0	4	1	11	3	0	3	13	0	250	8	0
SERPINA5	865	82	116	167	7136	27051	5930	1474	948	191	16372	254	10566	1054	611
SERPINA6	623	4	3	0	2	1097	313	32	0	35	211460	0	1	3	0
SERPINA7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINA9	4	0	0	5	32	3	4	6	3	5	17	0	4	24	0
SERPINB10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SERPINB11	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
SERPINB12	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0
SERPINB13	0	0	0	1	0	0	1	0	0	0	0	13	0	0	1
SERPINB1	1465	349	1673	751	5277	4406	2258	3301	1987	3207	2029	879	2756	2852	900
SERPINB2	2	3	35	65	0	3	1	0	12	96	7	685	6	3	4
SERPINB3	1	0	206	2	1	1	0	0	2	0	0	544	0	1	0
SERPINB4	2	3	49	1	0	7	0	0	0	1	0	197	0	0	0
SERPINB5	1050	1129	6085	1207	104	67	118	1036	664	8	2	2551	32	13	1740
SERPINB6	2616	4942	3294	2193	15403	8439	8593	6249	4695	3346	4015	8263	6598	2911	1495
SERPINB7	4	2	611	18	2	1	3	14	30	27	15	155	9	16	2
SERPINB8	509	192	659	261	259	452	279	738	377	791	143	140	447	537	489
SERPINB9	668	332	424	547	1234	530	274	570	568	505	170	12	334	837	1342
SERPINC1	16	1	3	2	5	9	9	5	9	3	4	10	15	5	2
SERPIND1	0	0	1	3	5	2	3	0	4	1	2	0	0	1	0
SERPINE1	2624	1149	639	3582	1075	4737	2496	1599	8511	2331	967	428	791	3690	1372
SERPINE2	1066	256	14251	1028	1182	1560	1120	2842	1977	1919	685	1998	631	1281	657
SERPINE3	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0
SERPINF1	3645	1084	580	8660	1941	3149	3219	15865	14921	14840	6085	12867	5431	6864	2022
SERPINF2	91	234	51	193	567	391	252	319	457	82	95	444	41	68	68
SERPING1	7005	5165	5593	14860	3961	5846	5132	19710	16056	19357	7216	5762	5928	20620	5634
SERPINH1	7152	10412	18558	16307	6393	10907	16084	15151	10269	29856	9183	14278	9996	16668	14727
SERPINI1	1500	53	615	159	328	857	374	923	341	183	1234	403	164	1136	181
SERPINI2	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0
SERTAD1	1212	782	961	659	918	744	818	1191	837	873	1271	1517	1682	1291	258
SERTAD2	3688	2917	5683	2512	4088	5650	2737	2630	2854	3276	2166	1699	9448	2405	2153
SERTAD3	3412	2004	2649	1000	7133	3564	2719	1617	1649	1726	4700	1567	3695	1756	456
SERTAD4	451	9	305	766	2539	1004	932	1015	549	429	96	7	2405	1005	374
SESN1	1036	541	1551	497	2319	1491	1744	2723	1790	431	766	449	3919	1457	620
SESN2	1530	400	612	800	3059	2007	1318	807	1106	909	1451	477	768	1566	399
SESN3	95	390	461	246	1917	115	655	159	418	602	13	167	802	103	688
SESTD1	3819	787	4353	1542	13230	10664	3163	3738	2153	8103	2101	639	8215	17127	1822
SETBP1	1296	226	843	335	2047	3852	2452	1307	2888	1875	462	60	2773	224	381
SETD1A	2159	2313	4306	3136	3744	1762	2767	1508	2785	2093	2862	803	2876	3630	1083
SETD1B	3767	1054	3551	4005	5410	3790	4268	1560	2187	2068	2244	555	3111	2022	838
SETD2	8102	1478	4623	2580	10498	8916	8149	3592	4751	4566	5210	1136	6024	7697	3732
SETD3	2657	1754	3401	1732	3576	7584	4393	3483	2750	7729	4013	2067	5284	4858	1687
SETD4	986	554	392	633	1446	571	1380	796	720	549	849	468	1228	870	307
SETD5	9017	4043	6596	8154	24528	6545	8969	3749	5273	5837	4482	1569	8558	9132	5436
SETD6	1281	746	1456	497	1635	1121	1951	437	264	536	763	655	727	1185	712
SETD7	4628	852	4731	2378	2490	6066	5102	5756	5557	6692	1976	1114	14576	5731	3766
SETD8	2802	2203	7488	995	6778	4693	3514	1530	1188	1314	2609	1436	2906	1486	1483
SETDB1	2707	3635	5879	2653	5771	2660	3483	2309	3361	2454	3960	1686	6939	4420	2716
SETDB2	1168	149	437	397	1107	1494	1362	923	1012	474	598	653	661	674	346
SETMAR	694	1176	527	773	1423	889	2007	1848	1037	472	1238	495	1641	1441	575
SETX	5650	1132	5984	2528	4967	11183	6068	3822	4960	4882	2177	1222	7512	6132	4393
SET	12388	9636	47113	16942	40995	27577	34062	16737	11834	16664	15737	15819	25716	35770	11502
SEZ6L2	10040	248	36924	2107	2207	9677	4983	1930	1392	2697	7036	6508	11988	1854	1567
SEZ6L	1726	2	1425	4	156	69	392	11	280	6	1	0	7	3	2
SEZ6	2	0	1	0	27	1	1993	1	0	0	1	0	0	0	1
SF1	12151	4944	15762	10302	16737	14059	11382	8043	9963	13569	8559	7903	12321	17184	5248
SF3A1	6722	2392	8058	5298	11850	13395	7416	5004	7155	6841	5202	3099	6966	12285	2305
SF3A2	2492	4179	2577	2769	2937	1439	6409	1716	2064	2789	3491	3629	2793	3276	444
SF3A3	4553	3176	8954	4645	7634	5712	6124	3530	3121	3268	3621	3944	3783	4781	2855
SF3B14	2181	5133	7978	1873	8822	3678	5389	3573	2006	2400	2993	12655	6605	5567	3862
SF3B1	19804	6016	23695	12673	24748	26045	25542	16100	13744	9477	11324	6995	38088	112424	7609
SF3B2	12748	7274	16262	11330	20628	25557	18122	9667	9824	13411	9790	9694	14844	22479	8108
SF3B3	6463	6767	32974	5203	12070	14075	17219	4374	5222	5756	7543	5297	12577	12045	9230
SF3B4	4221	8203	8497	9181	5772	4133	5481	4411	5037	5661	13330	5117	14398	7791	3076
SF3B5	1462	4099	4281	1859	1602	3304	3695	3530	1923	3502	4683	8516	3293	4528	878
SF4	1105	1421	1579	1151	1393	1525	2189	1206	1014	1585	1406	2115	2014	1587	473
SFI1	882	480	285	514	3402	1451	1328	952	1486	821	1259	617	1623	2955	197
SFMBT1	1239	108	733	297	2208	1952	872	980	769	1338	906	96	1733	2025	280
SFMBT2	376	39	536	59	1579	171	95	139	232	484	14	23	1064	131	139
SFN	2774	4402	3289	4820	987	3304	619	1887	2122	2014	3714	5095	1345	2479	423
SFPQ	11034	11623	18875	10074	19606	12664	20782	11718	6992	8034	12377	11850	20477	24720	8125
SFRP1	1530	3220	245251	3214	1170	1088	1589	6341	5030	24	50	4977	57	24	2256
SFRP2	17663	2812	141	27552	7203	9130	16438	66771	34767	58027	12966	6504	6729	28889	9358
SFRP4	6389	31	20	4514	637	3297	1061	14369	8446	13827	437	1030	2043	1821	2852
SFRP5	9	0	68	3	0	0	1	0	23	0	0	24	2	1	3
SFRS11	7810	3615	10259	6997	12925	9566	12359	7262	4602	3688	3924	3998	10160	6817	6245
SFRS12IP1	1897	1052	954	879	2325	2036	1856	1438	1028	1113	2355	1064	1567	3090	1089
SFRS12	4153	1586	3872	1470	6423	4870	5270	3782	2654	1822	3832	1213	6676	5225	2551
SFRS13A	4779	2095	5152	1742	4957	6935	7273	4052	2587	3438	3735	2659	7199	8027	2885
SFRS13B	7	195	580	426	74	22	13	56	35	17	8	280	7	10	377
SFRS14	6369	1297	6810	3969	6398	5361	7207	1862	2976	1287	2470	1313	7878	3163	1907
SFRS15	2800	2129	2267	2218	3630	2779	2884	1198	1731	2179	3045	964	2954	3790	2034
SFRS16	699	1563	1350	883	1658	892	1428	1034	695	538	1063	1427	1485	1318	443
SFRS17A	2389	1402	2836	2282	5901	1712	3537	1489	1307	2836	2260	909	2147	2472	989
SFRS18	2496	2464	6127	3795	10181	3325	6368	3313	3005	1978	3014	2848	5810	3323	3186
SFRS1	10850	6383	15785	7886	17248	14473	22036	11114	7055	8399	13457	9351	23460	24303	7480
SFRS2B	2159	1372	3499	1502	2375	1457	1979	3777	1725	2265	1379	2197	5075	1523	1265
SFRS2IP	7169	1821	5155	5349	9288	10502	6437	6136	5316	6444	6238	1829	10465	12372	4448
SFRS2	6439	8724	10832	6042	13381	9359	16370	9806	4436	5227	7312	9263	11445	17128	4936
SFRS3	8805	8471	18268	10303	20441	14622	20337	15039	8066	7386	12658	20256	19446	27595	6754
SFRS4	4205	2449	3717	5357	9890	5772	7464	3979	3404	3565	3580	4133	3416	4716	2448
SFRS5	3766	3307	6760	4394	20116	7103	11939	10665	6592	5098	6760	2497	8655	8350	3686
SFRS6	6118	5646	12618	5595	20403	9167	22064	10264	7115	7917	11778	7408	15136	15240	4044
SFRS7	4043	3894	6860	3168	8425	6116	7996	5265	3212	2951	4746	6990	10753	10054	2876
SFRS8	2386	2228	2266	1586	5964	2027	3223	1613	1656	1003	3961	1480	2487	2936	866
SFRS9	4871	4551	9887	2409	11157	9349	8104	5415	3355	4510	14631	5989	7561	5535	2318
SFT2D1	593	907	3014	883	1098	1334	1855	1169	794	1163	1727	2209	2127	1794	433
SFT2D2	119	151	1317	123	332	136	80	138	206	269	216	381	470	360	175
SFT2D3	843	423	1363	445	1144	842	2104	1280	771	585	371	577	1643	385	372
SFTA1P	0	3	6	5	8	1	6	8	9	24	18	3	1	0	1
SFTA2	7	1	2	1	1	4	0	0	7	1	0	0	0	0	0
SFTA3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
SFTPA1	0	3	0	0	0	0	2	0	0	0	1	0	0	78	1
SFTPA2	10	15	11	3	48	13	111	155	23	2	92	1	53	3924	2
SFTPB	1	10	4	0	3	0	2	0	2	2	2	3	4	5	1
SFTPC	0	2	0	0	0	0	1	0	0	0	1	0	0	0	18
SFTPD	63	10	1480	28	35	235	124	74	43	56	41	50	51	317	13
SFXN1	2353	469	5077	1459	17588	3294	4559	1458	2645	2024	1495	944	3551	3095	899
SFXN2	1339	405	1242	223	4557	2084	910	1859	933	802	24280	133	3753	4217	759
SFXN3	2409	2576	754	1326	9008	5712	4077	1655	2023	2450	3946	1439	4803	2821	650
SFXN4	1141	1368	2467	465	1180	998	1670	1004	878	507	1617	1767	2353	922	1019
SFXN5	7386	1228	209	535	847	7874	2717	737	1458	933	999	383	5213	807	511
SGCA	6	3	1	20	9	7	6	54	125	4	14	6	14	0	1
SGCB	2958	531	1716	2193	4439	4887	4591	2308	1871	2477	566	1518	2953	2483	1267
SGCD	232	281	238	402	245	372	954	1654	689	1230	455	61	527	498	377
SGCE	273	132	233	1081	3177	268	476	1784	1607	673	237	1190	1115	875	547
SGCG	4	0	5	3	62	6	5	0	86	6	2	3	9	5	4
SGCZ	0	0	12	0	2	1	0	0	1	0	0	0	0	0	0
SGEF	2195	471	1155	321	1486	2449	587	1165	748	250	1467	185	2628	2442	419
SGIP1	101	55	39	408	69	38	249	310	440	704	121	17	275	423	63
SGK196	127	8	178	34	262	212	64	26	49	77	17	42	139	154	144
SGK1	1095	1116	32217	3201	945	2256	1035	3696	3514	1794	1007	668	1442	2384	979
SGK223	935	606	524	2927	611	2114	814	5060	1607	1619	828	609	12326	785	1097
SGK269	2781	302	2121	2774	3093	2697	2271	2300	3884	3904	732	807	2982	2253	2180
SGK2	78	29	6	138	20	17	2	27	221	15	16	47	43	0	12
SGK3	3765	188	1419	621	17186	4309	6550	8390	1692	1270	2661	578	1224	9040	936
