	TCGA-E2-A15F-01	TCGA-AO-A1KR-01	TCGA-D8-A1JM-01	TCGA-A7-A4SE-01	TCGA-E2-A15S-01	TCGA-A2-A0ER-01	TCGA-E2-A105-01	TCGA-A7-A5ZW-01	TCGA-BH-A0EA-01	TCGA-AN-A0AS-01	TCGA-E2-A14O-01	TCGA-E2-A574-01	TCGA-C8-A274-01	TCGA-AN-A0AJ-01	TCGA-E2-A1AZ-01
C9orf70	0	0	0	26	0	1	0	1	0	0	0	2	0	0	0
C9orf71	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
C9orf72	818	199	764	253	767	819	1079	407	425	231	208	307	484	683	968
C9orf78	1963	2623	5441	2008	5945	5406	4356	3528	2654	2867	2542	2438	3768	4470	1504
C9orf79	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C9orf7	1602	1089	1016	1382	4006	2227	3777	2529	2297	1754	1809	1470	5275	2844	301
C9orf80	363	212	1086	582	792	937	946	573	447	536	367	196	1276	1196	439
C9orf82	465	348	490	583	597	1550	1379	1304	540	1415	552	963	1575	1022	981
C9orf84	2	1	0	0	7	2	8	10	2	9	3	0	1	5	2
C9orf85	127	82	1239	161	607	540	473	400	293	302	141	407	357	365	187
C9orf86	2706	3408	6615	4180	9307	5199	8555	4163	4385	3568	2137	5934	5391	5615	1326
C9orf89	552	398	478	716	1296	746	1285	1212	667	969	2959	1266	944	3417	114
C9orf91	1954	398	3479	1355	7546	5381	2793	2377	2858	1821	1176	507	6789	4074	731
C9orf93	129	31	81	78	291	161	441	111	75	17	87	16	372	168	190
C9orf95	521	334	1582	365	274	1561	688	692	905	619	1239	415	653	512	523
C9orf96	37	14	20	51	45	24	87	11	61	25	18	3	27	18	8
C9orf98	126	6	90	42	47	767	745	170	283	71	210	132	527	626	12
C9orf9	367	238	760	261	355	636	685	370	627	232	459	567	718	328	83
C9	0	0	9	0	0	0	0	0	0	0	3	1	0	0	0
CA10	0	0	102	0	3	0	0	3	0	0	0	2	0	6	0
CA11	342	162	92	157	501	289	862	325	1924	103	54	173	171	173	106
CA12	156052	1831	4481	889	9571	147132	26614	17178	12945	26038	74516	116	44103	12979	120
CA13	103	49	517	177	54	54	102	147	109	147	52	258	21	65	61
CA14	77	14	17	110	122	202	21	29	312	1	2102	131	43	14	3
CA1	0	2	1	0	0	0	4	14	0	0	0	0	0	0	1
CA2	2356	415	26208	297	2629	359	1913	189	232	774	12761	40	4933	2159	379
CA3	58	11	5598	131	41	21	26	10	147	1	1	114	1	2	22
CA4	0	1	1	1	294	1	2	22	275	0	0	1	0	0	0
CA5A	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
CA5BP	847	301	1617	1016	1357	511	841	406	376	703	475	260	618	671	419
CA5B	640	55	766	240	674	994	592	630	1124	1020	245	133	561	822	227
CA6	0	0	0	2	0	0	1	8	0	0	0	6	0	0	0
CA7	28	1	1	74	0	1	1	3	0	6	1	3	2	1	0
CA8	371	30	6	343	4323	1546	1139	1650	438	1203	583	911	4056	721	10
CA9	0	1070	2621	1323	0	4	6	4	103	243	26	843	0	452	508
CAB39L	3001	259	3484	548	2568	2658	1659	2230	2913	556	2475	914	1261	685	270
CAB39	6933	1142	7427	2290	3456	7196	5699	5480	4058	5285	2908	1980	8742	7504	1998
CABC1	2317	2633	4838	1917	2893	1592	4000	2403	3543	1875	2656	2480	4722	3296	884
CABIN1	2756	2131	3765	2528	7065	5812	2633	3026	4715	2934	1879	1400	4776	3915	1142
CABLES1	2774	734	3617	560	2102	3915	3086	1800	1472	2815	80	1024	3479	1960	732
CABLES2	1619	1539	1427	850	2268	762	2380	318	484	431	939	164	1256	1343	677
CABP1	9	11	8	72	19	3	31	12	17	0	3	12	9	3	7
CABP2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
CABP4	25	2	1	15	2	297	187	49	92	31	118	1	8	16	5
CABP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CABP7	11	6	65	21	19	5	147	15	14	28	22	4	7	32	23
CABYR	1296	476	637	275	830	701	956	438	437	46	1209	278	330	244	590
CACHD1	497	420	1005	799	2077	708	981	614	939	289	182	77	573	167	485
CACNA1A	14	22	117	69	30	8	38	49	76	14	17	49	89	23	35
CACNA1B	25	1	782	62	88	1	122	5	5	19	0	1	131	62	4
CACNA1C	794	270	4136	501	261	973	2398	674	876	461	731	54	812	293	422
CACNA1D	2580	30	110	325	1018	5013	1330	1242	1350	14	420	28	2537	539	77
CACNA1E	8	0	3	14	3	5	18	15	0	6	3	1	14	30	44
CACNA1F	10	3	3	43	178	131	3	57	83	4	47	13	130	3	0
CACNA1G	23	3	1	31	22	14	25	70	174	6	31	9	9	5	9
CACNA1H	5246	51	88	279	7249	447	7599	450	486	5020	420	14	9310	179	89
CACNA1I	22	739	299	68	6	439	152	78	10	1285	4	3	192	14	109
CACNA1S	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
CACNA2D1	165	2	23	49	65	125	104	60	132	80	3	1	47	31	147
CACNA2D2	2963	30	30	81	3083	5745	4733	116	723	359	1328	13	1527	1002	35
CACNA2D3	20	6	127	44	18	22	52	35	110	4	8	42	17	5	13
CACNA2D4	43	23	38	60	47	181	75	113	102	103	138	16	63	37	31
CACNB1	545	2143	175	361	722	203	1282	187	169	242	305	563	434	203	168
CACNB2	112	92	7571	44	118	565	55	36	53	23	11	13	52	44	88
CACNB3	1500	2479	1506	1759	3203	2971	5067	1354	1660	1002	3306	1143	5530	2660	631
CACNB4	182	4	2	40	53	67	50	112	83	12	81	6	235	33	54
CACNG1	48	0	6	5	52	121	20	64	9	17	60	6	111	549	2
CACNG2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CACNG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CACNG4	5795	117	892	1908	12904	17488	8736	2361	1553	2293	10193	391	7705	7376	52
CACNG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNG6	42	0	1	8	585	5	4	0	1	0	0	0	0	0	0
CACNG7	1	0	0	0	21	0	0	6	0	0	0	0	2	0	0
CACNG8	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0
CACYBP	4355	7222	14830	2174	6730	4431	4672	3624	3113	3762	9510	6623	8177	9957	3549
CADM1	630	3650	1750	644	590	3454	1451	3876	2065	2864	2351	1286	833	423	2298
CADM2	13	1	4	38	1350	163	154	19	41	0	18	46	3	81	3
CADM3	628	11	1	186	28	170	63	61	254	20	31	5	1	90	34
CADM4	1684	2789	2233	884	1334	3632	2301	1898	1707	1015	2895	2982	3702	2051	804
CADPS2	2379	178	1473	1448	676	3888	3638	2287	2126	2208	208	306	15141	1470	910
CADPS	27	37	4	24	26	3	30	29	14	3	6	11	12	7	25
CAD	3052	3559	7631	4613	6728	3700	5043	2158	2935	2302	1255	6737	7793	4012	2709
CAGE1	0	6	15	3	6	1	1	3	1	0	0	3	1	4	1
CALB1	10	1	1	1	19	0	3	1	0	0	1	14	1	7	1
CALB2	3355	2156	793	213	9	48	636	162	960	87	42	309	101	365	148
CALCA	0	2	237	2	0	1	0	0	0	4	0	19	0	0	3
CALCB	12	31	20	54	3	0	0	0	1	0	0	69	0	5	30
CALCOCO1	2370	1145	1661	4463	8986	5618	4897	3389	4888	2156	4146	971	4314	4206	1545
CALCOCO2	6525	1509	5841	1887	12733	12362	20786	4639	5183	2752	11844	2027	9573	14485	2293
CALCRL	1528	191	385	731	1736	2238	882	1551	2009	594	265	83	931	751	1424
CALCR	1	0	0	7	6	9	50	11	3	13	3	1	5	21	3
CALD1	7621	6888	12681	47069	5944	9127	8445	23717	15549	16928	4537	5325	7561	16376	16520
CALHM1	75	4	1	4	88	27	289	5	1	16	1	1	251	3	6
CALHM2	2460	484	2367	1536	2547	1389	1697	2080	1651	1839	1030	426	2106	781	485
CALHM3	6	0	4	5	4	1	3	0	2	4	0	3	0	0	0
CALM1	11339	6537	15404	8569	14120	30510	17262	12123	11269	18717	21535	10618	30663	23581	8629
CALM2	19080	25207	101649	10543	42269	55541	25125	35429	15706	23383	26922	56636	88061	67069	9559
CALM3	12596	8447	14053	6260	23575	16193	14950	9467	7396	8643	11825	11355	13950	22617	7678
CALML3	437	217	0	155	138	38	121	1215	2421	3	21	0	16	6	402
CALML4	549	595	924	368	862	575	1095	616	904	428	421	421	910	684	287
CALML5	6	220	16	796	252	10	968	111	177	19784	4969	24223	46844	53	18
CALML6	5	12	1	3	4	3	36	5	4	0	1	3	6	0	3
CALN1	7	0	3	2	3	2	5	10	5	0	4	0	5	0	2
CALR3	0	0	0	2	0	2	0	2	0	1	0	0	1	3	0
CALR	41750	62729	236615	26908	31998	57439	45207	24306	23705	52945	100072	111448	37729	39631	49725
CALU	7929	2817	20448	20092	10567	14229	8719	13428	7185	15400	8591	11285	17211	9924	12005
CALY	0	3	0	2	22	0	49	3	4	1	0	1	4	0	1
CAMK1D	375	57	784	219	86	174	210	104	273	272	25	80	402	596	246
CAMK1G	215	2	6	17	66	4	12	10	0	11	6	8	3	18	10
CAMK1	570	252	116	297	950	758	549	473	923	504	1309	186	438	636	173
CAMK2A	36	1	6	48	6	8	8	36	12	57	7	9	22	13	11
CAMK2B	1093	374	97	21	778	1806	2358	239	68	340	68	5	124	153	105
CAMK2D	1104	878	2713	844	688	569	836	1451	1671	1201	259	3008	2770	2774	1703
CAMK2G	1071	1792	2682	1238	3351	2346	2349	1484	1538	1978	1360	598	3553	2451	1619
CAMK2N1	4409	680	14669	650	10541	11242	14674	4393	3503	3181	340	991	8925	831	2792
CAMK2N2	56	87	240	20	571	140	465	21	5	23	83	32	143	231	7
CAMK4	26	3	35	23	33	22	55	26	17	17	5	1	9	59	39
CAMKK1	541	532	1216	611	400	597	463	609	776	410	341	1274	1191	3510	243
CAMKK2	5337	2302	7147	2279	6580	6890	6956	3558	3480	1859	1908	2477	6924	2535	1711
CAMKV	3	488	240	7	0	1	0	0	0	1	0	4	1	5	45
CAMLG	2357	894	3539	815	3597	4234	4231	2511	1725	2062	3169	1890	3988	4841	1092
CAMP	583	458	105	6	146	118	165	14	31	19	8	0	314	31	4
CAMSAP1L1	2859	2645	3091	3855	3688	3137	3665	2544	3326	3520	1837	1159	12982	4302	3172
CAMSAP1	1665	994	3730	1803	6378	3674	4117	1906	1895	3323	882	805	4215	3251	1651
CAMTA1	1137	1103	1068	390	849	1196	2017	1207	1157	1183	1050	1594	1977	1087	921
CAMTA2	4498	1108	197	2361	5025	5119	2145	2163	2536	1511	875	1310	4016	4187	701
CAND1	14656	1952	19143	3827	17408	14011	8608	7410	5489	14319	6868	6814	15798	18991	6560
CAND2	249	25	21	483	56	94	146	124	210	51	52	69	31	20	265
CANT1	8468	2359	6893	2662	14829	15804	11804	6685	3920	4098	7098	3617	13208	12576	1952
CANX	52795	10435	111915	19606	149780	91656	44616	32727	23046	67393	63163	18473	48182	80178	31404
CAP1	14119	8499	17914	15914	21163	26398	16976	15447	12504	22192	13155	9970	28296	18588	9613
CAP2	574	148	627	867	7862	950	146	2302	896	310	1019	289	5222	8171	668
CAPG	6620	4617	11208	4135	4864	22610	3756	7213	6554	5900	8436	14634	24991	9095	2633
CAPN10	507	408	343	631	823	419	1237	499	362	488	426	1121	658	606	85
CAPN11	10	23	0	9	266	16	57	123	68	1	16	2	18	6	5
CAPN12	224	537	566	209	453	236	542	128	121	100	486	1503	169	149	99
CAPN13	1004	242	903	226	881	1724	2765	1588	2710	930	1	88	9053	463	4
CAPN14	15	7	9	3	5	2	7	7	8	5	0	24	28	7	1
CAPN1	11782	3937	16931	8713	14981	25301	6564	8886	8446	11498	8747	13994	13198	7292	4610
CAPN2	7375	5263	17609	8684	2245	21274	10407	14372	12650	27090	12473	8485	77627	13069	5384
CAPN3	76	41	45	291	96	33	225	114	149	25	54	53	61	86	68
CAPN5	193	317	888	566	505	838	259	672	409	354	125	707	456	315	821
CAPN6	101	30	348	1599	305	178	54	105	287	88	1	32	2	43	609
CAPN7	3618	444	2449	2469	4859	3875	2798	2120	1653	1994	1604	803	2607	2781	1503
CAPN8	54	21	0	19	284	1741	139	581	747	124	780	1	2950	98	3
CAPN9	77	2	2	1	1200	310	228	195	260	61	655	7	1515	431	13
CAPNS1	22992	18800	30528	10181	16192	34935	19780	12373	11559	11024	26975	22821	23676	19208	4341
CAPNS2	1	1	4	9	2	3	0	1	1	2	0	1	0	2	0
CAPRIN1	20161	5136	44084	17328	61031	51803	37049	20838	15817	18341	23217	10193	33617	36425	10438
CAPRIN2	1547	193	979	874	2262	673	1411	541	565	398	734	563	1037	870	1542
CAPS2	89	19	28	11	156	100	54	165	49	12	38	9	139	82	29
CAPSL	111	6	2	0	2	5	10	34	38	1	19	5	410	904	3
CAPS	2315	471	3584	483	1359	850	3707	598	826	306	6308	15786	727	2038	192
CAPZA1	8389	3932	15776	6107	13154	12086	9990	8594	5262	7527	7647	5557	10153	11119	6192
CAPZA2	5718	1523	6454	3776	4870	9108	5383	8512	3880	5164	2784	2970	7863	5806	3929
CAPZA3	0	18	27	1	0	0	0	1	0	0	0	0	0	0	0
CAPZB	9694	9437	8729	5016	7250	19792	15097	13646	7271	11379	10149	9574	13479	13611	5657
CARD10	1181	114	373	488	2294	2710	951	1165	2141	1562	989	358	1458	451	77
CARD11	180	53	173	287	30	153	50	172	112	193	80	17	226	488	309
CARD14	453	481	610	212	2444	275	1457	532	669	240	643	98	1417	912	81
CARD16	69	1900	631	79	110	92	108	280	188	125	95	54	87	525	253
CARD17	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3
CARD18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CARD6	186	291	164	217	308	273	225	510	475	410	145	231	188	427	228
CARD8	2263	768	1070	839	1233	1944	1284	1256	1035	752	943	361	3608	1669	1233
CARD9	99	344	220	100	26	56	190	147	207	108	43	353	39	85	94
CARHSP1	2512	4744	5258	3085	3334	4785	1871	2358	1414	3199	8768	1571	4129	6105	1117
CARKD	3736	1255	1488	1575	5068	4234	4908	3129	2442	2811	2472	2165	2369	2201	734
CARM1	1843	2133	4094	4679	3597	2151	5575	1837	1652	2080	2408	5289	4538	3032	1294
CARNS1	42	50	20	26	190	82	47	48	70	44	97	22	84	39	37
CARS2	2628	2370	1876	958	1843	1994	2919	1197	1659	1605	1556	4449	1630	1868	663
CARS	2577	1810	3718	2310	4011	4741	3627	1943	1502	1934	3366	3368	3531	6101	1180
CARTPT	2	0	0	0	5	3	0	0	43	1	1	0	2	0	0
CASC1	71	18	60	11	95	207	112	147	201	13	554	9	237	331	69
CASC2	223	39	116	40	110	364	271	193	198	65	127	41	257	129	174
CASC3	7460	1775	8466	3664	14904	9462	11920	6197	5962	3665	5723	5737	8987	9387	2967
CASC4	8783	1094	9190	2891	11679	14990	9342	9538	6707	9243	4624	1882	11794	7703	3212
CASC5	484	56	1869	400	1944	1692	410	75	32	325	165	43	790	1447	751
CASD1	1262	652	1526	620	8880	2045	1801	4216	4036	906	1079	319	2710	1153	1043
CASKIN1	190	12	94	104	726	198	590	25	82	143	60	10	63	309	0
CASKIN2	2161	2163	850	1228	3961	1554	4034	1344	2325	1005	1846	870	2249	1808	1050
CASK	4196	1486	4029	2134	3861	5152	5537	3874	7734	2528	1887	1301	8743	4030	3098
CASP10	211	492	151	677	236	304	218	299	582	195	130	100	1628	425	357
CASP12	0	0	0	0	10	0	1	30	3	1	1	0	1	3	0
CASP14	58	27	697	24	1	20	1	0	12	7	58	0	0	608	59
CASP1	452	1527	1283	261	225	339	251	892	539	417	209	71	999	1083	1178
CASP2	4559	4439	7471	2920	6071	4743	5840	1868	2191	1423	2444	1289	4758	2725	2949
CASP3	2829	659	4588	1428	2003	2462	3181	2199	1037	1364	1840	2073	4606	2676	1803
CASP4	645	1974	1303	591	400	639	538	1460	1050	1030	434	1115	2294	1782	1440
CASP5	0	0	3	3	2	1	2	0	1	0	0	0	1	18	2
CASP6	1559	1063	1692	557	1084	1490	1291	2392	811	424	1370	707	3484	1082	822
CASP7	2458	914	3671	658	2709	4077	1413	2636	1552	3370	3976	523	2608	3073	1361
CASP8AP2	1072	546	2671	1178	2622	1902	1911	878	963	910	858	274	2253	3619	1151
CASP8	1552	870	2853	1033	1002	1112	761	1229	931	1096	549	669	3841	1114	537
CASP9	872	527	1402	221	666	1269	1197	791	792	308	774	567	690	550	437
CASQ1	46	7	13	11	406	36	14	5	122	2	10	0	170	85	13
CASQ2	18	0	6	144	80	91	21	164	599	0	26	6	11	11	8
CASR	0	0	2	0	0	0	0	0	3	1	0	0	0	0	0
CASS4	39	5	22	44	35	77	17	70	49	32	2	1	25	96	53
CAST	9724	2366	19346	17166	7625	15998	22259	9761	11936	11081	10103	18964	15505	13085	5842
CASZ1	3496	1145	2593	645	3931	4527	4728	2786	2727	2264	1282	851	4104	2167	467
CATSPER1	11	1	3	2	4	14	28	9	4	11	10	4	6	7	5
CATSPER2P1	77	17	119	24	190	82	86	33	56	59	74	30	48	61	15
CATSPER2	46	67	47	4	450	88	236	48	41	44	78	6	132	55	32
CATSPER3	29	9	39	7	27	53	22	28	9	31	49	21	56	33	1
CATSPER4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
CATSPERB	95	255	223	5	4	20	21	70	45	382	46	7	682	282	36
CATSPERG	46	15	36	63	181	83	33	93	44	22	97	6	295	71	2
CAT	2370	874	3082	2421	3595	4873	4916	3165	5744	4663	6939	2127	7051	5865	2048
CAV1	2459	7900	1662	4580	3279	2579	2206	7610	10684	3293	1176	501	1478	2739	1823
CAV2	788	1777	911	2662	553	795	611	2711	2737	1293	344	915	496	846	1091
CAV3	0	1	0	0	3	2	0	0	6	0	0	0	0	1	1
CBARA1	1885	3277	3767	1463	3472	4787	3476	3209	2340	3079	6016	1402	7190	3526	2150
CBFA2T2	3684	1562	3365	1863	5328	2754	3349	1628	2240	1919	1507	1062	4110	3856	1701
CBFA2T3	758	32	2004	59	2001	564	4709	402	223	1671	21	4	648	96	83
CBFB	1954	1652	4672	1792	2940	4856	5812	2034	1167	2090	1776	2221	3192	3713	2655
CBLB	1004	727	1898	1302	1121	2094	1311	635	898	1447	803	287	1908	2397	1132
CBLC	1026	1494	3215	384	1334	861	20	917	769	925	1123	2573	2007	1147	217
CBLL1	2396	718	2273	1391	3360	2968	2988	2043	1477	1186	1256	926	3132	1979	1769
CBLN1	29	1	38	15	646	4	1223	28	66	7	3	1	73	38	2
CBLN2	4	6	17	2	605	286	994	166	76	77	12	5	2	6	1
CBLN3	108	62	154	152	692	154	354	183	232	132	208	53	141	116	125
CBLN4	28	0	2	6	11	24	9	20	72	2	5	1	31	2	16
CBL	1490	820	1296	1763	2071	2994	1243	1401	2142	3078	530	1014	5634	1602	2562
CBR1	1806	1605	931	1768	1597	355	419	1735	2811	923	2450	3050	127	2681	1191
CBR3	343	659	217	243	529	368	153	626	483	299	525	865	1186	583	199
CBR4	2298	357	344	246	2056	1815	3215	1750	1172	663	835	806	3160	3164	318
CBS	80	779	538	442	2169	319	37	254	609	84	494	1852	2792	733	12
CBWD1	876	1341	1437	989	1029	3128	1514	1692	925	613	1964	1721	4162	1061	1738
CBWD2	1250	1458	2931	867	1302	2044	2393	1086	1036	1464	1437	3597	3157	2133	596
CBWD3	712	432	1439	821	3452	1183	1381	1698	596	659	550	510	1052	946	596
CBWD5	0	0	35	0	0	14	0	0	11	30	6	14	14	45	2
CBWD6	135	203	321	223	435	483	639	639	731	174	722	999	247	699	219
CBX1	3919	3046	5350	3996	13228	7300	11899	4140	3479	2992	10845	3166	9669	14509	4648
CBX2	154	3908	2095	354	2747	79	1984	228	256	876	2168	692	646	2679	1152
CBX3	9563	9381	12385	4123	15838	14960	9399	10554	5468	9404	19481	14562	12277	55801	6213
CBX4	2339	1785	1838	1134	12232	1004	3077	2131	2079	1740	9495	679	2215	2824	399
CBX5	8759	4276	21693	7193	9318	14042	12014	6149	7448	4270	4783	3151	13036	11094	5395
CBX6	872	213	535	1143	3044	1931	680	685	1739	643	124	270	1479	455	191
CBX7	1343	477	461	1138	5335	4009	1195	1994	3577	1129	407	160	953	691	297
CBX8	209	625	268	178	1897	194	630	383	380	321	2087	405	442	876	157
CBY1	608	2328	992	1011	2627	1658	1165	1956	1191	1337	2275	1056	1726	1679	517
CC2D1A	2314	3109	2094	2249	2323	2281	4106	1572	1948	1114	2746	2059	2794	2141	854
CC2D1B	2588	2520	1784	1384	3930	2142	3188	1578	1507	1550	2002	1204	1493	1724	1050
CC2D2A	885	199	511	503	1191	852	1035	654	657	282	397	481	1380	865	376
CC2D2B	2	5	2	4	6	7	15	31	4	0	5	1	10	9	5
CCAR1	4181	4369	8013	2075	6399	5455	5999	3249	2759	4267	5228	1552	7892	6153	3507
CCBE1	5	0	460	17	6	19	9	14	10	48	19	2	12	47	7
CCBL1	136	103	291	371	531	398	433	170	256	68	527	136	377	254	53
CCBL2	1327	448	1905	468	1808	2735	2800	2421	1714	1218	1410	1135	1411	1430	829
CCBP2	22	42	18	976	38	139	25	74	69	48	540	34	653	236	24
CCDC101	477	661	1045	516	864	581	1179	689	716	564	1679	777	1119	1102	190
CCDC102A	112	287	681	408	223	270	285	451	284	278	137	762	95	304	248
CCDC102B	59	49	132	148	278	156	206	172	151	59	39	25	66	229	236
CCDC103	359	69	123	76	966	452	1077	338	379	111	1039	338	524	714	64
CCDC104	1960	1653	1274	901	3841	4091	4829	2031	1738	857	3462	1925	4680	3626	951
CCDC105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC106	1558	1157	120	169	1587	1548	2002	846	646	606	950	750	569	814	98
CCDC107	258	1368	1811	740	480	859	997	792	907	845	746	1319	662	756	281
CCDC108	43	91	50	0	3	4	21	0	24	0	20	5	189	53	3
CCDC109A	889	878	3575	825	1554	1116	1710	1503	1081	1434	1406	731	1976	1175	1792
CCDC109B	1336	91	739	412	802	1266	267	1192	544	625	532	376	1124	1349	314
CCDC110	174	14	58	43	60	334	139	126	103	45	138	102	132	179	189
CCDC111	509	90	472	159	907	716	570	491	566	168	256	214	861	290	246
CCDC112	376	199	405	365	613	710	1209	650	325	461	767	686	1000	1070	457
CCDC113	1323	380	962	286	457	1956	2098	471	765	493	683	804	2198	1571	522
CCDC114	34	23	7	70	96	104	237	18	45	16	67	13	173	348	28
CCDC115	3145	2290	3616	1399	2975	2902	3415	2594	1786	1464	2346	2062	3287	1995	1301
CCDC116	6	4	8	3	3	4	27	3	12	5	4	0	4	0	2
CCDC117	5864	923	2129	1278	10321	4264	3979	2365	1688	2273	5055	727	3210	7879	881
CCDC11	145	70	42	30	165	139	273	61	188	24	186	44	85	156	43
CCDC120	1518	1824	2402	970	1816	1204	1473	774	1486	793	1351	455	2597	964	673
CCDC121	388	50	477	77	1108	474	881	320	250	132	178	137	677	509	145
CCDC122	114	53	171	90	177	82	467	260	227	71	99	75	117	56	165
CCDC123	1857	1232	2332	2160	1679	2130	1849	991	979	929	789	2408	2603	1794	668
CCDC124	1101	6173	2119	2439	1076	967	2765	1708	1380	1494	2898	3321	2089	2191	548
CCDC125	2104	411	747	213	4237	2206	1983	1228	1285	668	2290	359	3906	2790	293
CCDC126	521	99	221	208	263	1335	978	587	518	343	721	287	334	642	200
CCDC127	759	857	1290	379	1757	1568	1309	1180	681	1015	1837	1412	1748	1788	439
CCDC129	0	73	0	6	119	1	7	8	8	0	0	0	0	0	29
CCDC12	817	1578	629	689	1460	1315	1541	1604	1018	1408	2844	1770	634	1692	252
CCDC130	776	1078	883	1121	814	485	1266	1009	681	538	857	1532	984	686	317
CCDC132	1618	352	1674	875	1954	2084	1539	1641	1899	573	1101	506	3274	1304	1119
CCDC134	71	97	139	94	629	257	42	139	105	218	298	126	189	179	62
CCDC135	5	1	0	10	2	0	11	0	1	0	5	4	12	131	1
CCDC136	71	5	12	99	122	40	105	42	44	31	17	15	68	45	21
CCDC137	929	2631	848	1338	2475	864	3389	974	674	706	1130	1326	933	2492	590
CCDC138	145	74	582	239	340	177	339	120	35	62	111	298	360	648	219
CCDC13	23	8	5	5	32	42	32	23	107	8	19	11	20	55	7
CCDC140	0	0	26	14	0	0	3	1	0	0	1	0	0	1	0
CCDC141	2	15	8	6	23	7	3	11	19	0	1	0	5	35	18
CCDC142	678	317	472	566	1207	271	1152	250	452	324	324	301	996	1060	153
CCDC144A	103	10	14	6	18	81	132	10	67	17	24	8	137	44	187
CCDC144B	52	1	7	12	20	88	67	11	54	20	30	10	393	70	153
CCDC144C	0	0	5	2	1	4	2	2	1	0	7	0	13	1	5
CCDC144NL	0	0	1	2	0	2	11	1	4	0	0	6	4	0	0
CCDC146	471	29	185	224	143	425	588	271	541	101	228	101	400	623	306
CCDC147	14	12	48	13	15	2	7	31	14	18	8	2	69	14	13
CCDC148	86	3	11	13	73	306	74	83	61	15	50	15	302	20	18
CCDC149	1088	757	1141	981	1500	2233	2040	1832	1227	2149	494	402	3577	1213	306
CCDC14	1476	3832	2720	1280	4396	1085	258	1653	1088	769	1200	1456	4622	2548	2089
CCDC150	69	229	235	118	125	44	172	20	20	8	31	158	220	509	109
CCDC151	26	6	8	90	70	142	149	15	210	15	47	25	66	125	4
CCDC152	106	201	245	42	102	320	63	367	139	30	161	107	32	183	93
CCDC153	22	7	5	20	20	42	60	53	62	5	195	53	302	38	3
CCDC154	6	39	1	38	4	2	54	11	6	2	26	20	5	20	2
CCDC155	0	4	1	19	1	1	0	2	0	0	9	15	0	16	6
CCDC157	69	104	21	47	173	186	116	176	135	53	118	45	159	452	8
CCDC158	183	0	7	1	6	36	24	30	30	0	2	1	85	0	15
CCDC159	279	230	39	152	427	385	1035	690	472	197	1115	393	694	366	75
CCDC15	140	80	228	72	191	210	57	159	117	78	198	32	624	339	99
CCDC160	142	15	53	16	25	280	16	280	515	176	168	12	822	203	11
CCDC163P	101	1	87	70	401	95	75	19	43	28	13	3	37	27	5
CCDC17	11	87	14	21	40	8	19	7	15	15	15	48	15	82	2
CCDC18	238	253	640	131	340	330	463	88	49	73	181	215	198	148	268
CCDC19	91	32	32	105	115	56	113	330	504	50	380	104	390	3392	23
CCDC21	2791	376	1174	785	2788	3605	2893	805	478	532	963	603	1348	1965	733
CCDC22	906	1177	968	852	1221	1383	2114	1137	1237	1097	1453	1222	2069	1965	469
CCDC23	329	468	772	489	1399	699	1982	757	576	535	716	828	538	615	303
CCDC24	748	520	469	273	1618	812	1297	544	606	220	1237	808	845	301	58
CCDC25	1143	1148	1722	742	2363	3426	1545	2793	1701	3129	5561	1093	2542	1331	2025
CCDC27	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CCDC28A	496	445	3352	375	746	1252	883	1424	1217	595	975	890	1298	1378	321
CCDC28B	266	360	148	129	407	256	913	240	207	144	512	642	132	246	333
CCDC30	496	137	68	143	540	499	803	212	342	83	251	47	422	194	101
CCDC33	0	0	1	5	0	0	1	0	0	0	0	0	5	25	2
CCDC34	782	1280	1202	504	2696	1934	1777	746	445	292	1877	961	825	2439	686
CCDC36	9	13	2	17	15	9	19	56	42	43	14	6	25	31	15
CCDC37	0	4	0	0	0	0	0	0	0	0	0	0	0	0	62
CCDC38	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
CCDC39	88	10	29	40	58	49	78	30	89	16	17	4	104	231	30
CCDC3	452	176	752	701	260	519	395	813	2871	594	201	1068	337	459	259
CCDC40	261	570	37	155	927	546	1184	327	777	140	719	22	872	729	189
CCDC41	584	635	1261	224	1158	764	1102	546	283	307	844	335	936	1451	429
CCDC42B	3	10	6	14	11	1	10	6	4	5	10	33	24	80	2
CCDC42	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0
CCDC43	1483	618	1347	786	2766	1931	4137	1221	822	811	3064	1457	2499	2810	792
